"id","name","subdomain","site","phone","addr1","addr2","city","state","zip","notes","discount_code","discount_rate","created_at","updated_at","species","email","contact","facility"
3,"Evergreen Animal Hospital","evergreen","www.evergreenvet.com","303-674-4331","32175 Castle Court","","Evergreen","CO",80439,"",2017,50,"2009-02-27 21:02:51","2009-03-22 19:07:40","pet","rbstep@evergreenvet.com","Bob Stephen",""
4,"Curlew Hills Memory Gardens Pet Cemetery","curlewhillspetcemetery","www.curlewhillspetcemetery.com","727-789-2000","1750 Curlew Road","","Palm Harbor","FL",34683,"",2033,50,"2009-02-27 21:04:25","2009-03-22 19:10:10","pet","info@curlewhillspetcemetery.com","Ann Kilzer",""
5,"Deceased Pet Care","deceasedpetcare","www.deceasedpetcare.com","770-457-7659","4991 Peachtree Rd.","","Chamblee","GA",30341,"website link sent
has been linked
Julianne - Bethel
Cindi - cyndi@dpc-i.net
Barbara
Katie
Jill
Bryan
Lauren
Maryanne",2011,50,"2009-02-27 21:08:02","2009-03-21 15:18:27","pet","info@deceasedpetcare.com","Maudann Shugart",""
6,"Paws, Whiskers, & Wags","pawswhiskersandwags","www.pawswhiskersandwags.com","404-370-6000 ","2800 E. Ponce de Leon Ave.","","Decatur","GA",30030,"",2019,50,"2009-02-27 21:08:53","2009-03-21 15:23:44","pet","christine@pawswhiskersandwags.com","Christine Hunsaker",""
7,"Pet Cremation Services","petcremations","www.petcremationscolsga.com/","706-596-1200","1014B 14th St.","","Columbus","GA",31096,"",2021,50,"2009-02-27 21:09:48","2009-09-24 16:01:25","pet","pet_cremation@bellsouth.net","Trev Fuller",""
8,"Faithful Friends Pet Cremation Center","faithfulfriendspcc","www.faithfulfriendspcc.com","770-385-0222","60 Chamisa Rd.","Bldg 2 Suite 205","Covington","GA",30016,"",2058,50,"2009-02-27 21:10:52","2009-03-22 19:30:31","pet","faithford@att.net","Dennis Ford",""
9,"Dream Land Pet Memorial Center","dreamland","www.dreamlandpetcremation.com","678-594-0041","2950 Moon Station Rd.","","Kennesaw","GA",30144,"Jane Michiels Gen. manager
jane@petdreamsmemorial.com
kevin@dreamland?
website link sent",2012,50,"2009-02-27 21:11:38","2011-06-07 15:20:39","pet","info@dreamlandpetcremation.com","Kevin Marcy -President",""
10,"Highland Pet Supply","highlandpet","www.highlandpet.com","404-892-5900 ","1186 N. Highland","","Atlanta","GA",30306,"",2036,50,"2009-02-27 21:12:23","2009-03-22 01:10:47","pet","toni@highlandpet.com","Toni Barry",""
11,"Atlanta Pet Cremation Services","","","770-533-3332","4986 S. Atlanta Rd. S.E.","","Smyrna","GA",30080,"",2029,50,"2009-02-27 21:13:13","2009-03-22 20:01:33","pet","","Neal Turner",""
12,"Heavenly Paws Pet Cremations","heavenlypaws","www.heavenlypaws.com","859-493-0500 ","130 Mullen Dr.","P.O. Box 236","Walton","KY",41094,"",2022,50,"2009-02-27 21:14:07","2009-03-21 15:27:18","pet","","Adam Karlis",""
13,"Heaven's Pets at Lake Lawn Metairie","heavenspets","www.heavenspets.com","504-482-7387 ","c/o Metairie Small Animal Hospital","101 Metairie Road","Metairie","LA",70005,"Sharon Henry
Volunteer
Bereavement
Counselor

Victoria Segreto
Assistant Manager",2014,50,"2009-02-27 21:15:00","2009-09-21 15:47:02","pet","heavenspets@bellsouth.net","Jennifer Melius ",""
14,"Best Friend Pet Cremations","bestfriend","www.bestfriendpetcremation.com","443-929-0670 ","8525 Water Oak Rd.","","Parkville","MD",21234,"",2032,50,"2009-02-27 21:15:55","2009-03-22 20:31:11","pet","info@bestfriendpetcremation.com","Jane Heckrotte",""
15,"At Home On The Range","athomeontherange","www.athomeontherange.net","406-282-7378","8400 Amsterdam Rd.","","Manhatten","MT",59741,"",2024,50,"2009-02-27 21:16:55","2009-03-21 15:32:45","pet","batesnancy@hotmail.com","Nancy Bates",""
16,"Central Carolina Pet Services Crematory","centralcarolina","www.centralcarolinapetservices.com","336-723-6500 ","2703 W. Mountain St.","","Kernersville","NC",27284,"",2020,50,"2009-02-27 21:18:12","2009-03-21 15:24:50","pet","","Gary Goldsberry",""
17,"Faithful Friends Pet Cremation Service","faithfulfriendspetcremation","www.faithfulfriendspetcremation.com","919-874-0014","4912 #107 Alpinis Dr.","","Raleigh","NC",27616,"Michelle",2013,50,"2009-02-27 21:19:26","2009-04-07 19:55:23","pet","faithfulfriendspet@hotmail.com","Tim McKinnish",""
18,"Beckers Angels Rest Pet Cremation Service","angelsrestcremation","www.angelsrestcremation.com","330-750-1393","26 Sexton St.","","Struthers","OH","44471 ","",2031,50,"2009-02-27 21:20:20","2009-03-22 00:54:18","pet","dan@beckerfuneralhomes.com","Daniel Becker",""
19,"Hillcrest-Flynn Pet Funeral Home & Crematory","hillcrest-flynn","www.hillcrestflynn.com/code/default.asp","724-324-5100","2619 East State St.","","Hermitage","PA",16148,"",2026,50,"2009-02-27 21:21:27","2009-09-24 18:03:16","pet","dogguru@gmail.com","Roberta Knauf",""
21,"Hinsdale Animal Cemetery and Crematory","petcemetery","www.petcemetery.org/","630-323-5120","6400 S. Bentley Ave.","","Willowbrook","IL",60527,"",2018,50,"2009-03-21 14:47:17","2009-09-24 16:16:06","pet","info@petcemetery.org","Bill Remkus",""
22,"Pet Angel Memorial Center","petangelmemorialcenter","www.petangelmemorialcenter.com/","317-569-6000","172 East Carmel Dr.","","Carmel","IN",46032,"",2016,50,"2009-03-21 14:58:52","2009-09-24 16:17:34","pet","coleen_ellis@petangelmemorialcenter.com","Coleen Ellis",""
23,"Pet Cremation Services","petcremationsar","petcremationsar.com/","501-831-4562","329 Adams ","","Drasco","AR",72543,"",2015,50,"2009-03-21 15:05:53","2009-09-24 15:12:10","pet","marianne@petcremationsar.com","Marianne Sinclair",""
24,"Rolling Acres Memorial Gardens for Pets, Inc.","visitrollingacres","www.visitrollingacres.com/","816-891-8888","12200 N. Crooked Rd.","","Kansas City","MO",64152,"",2023,50,"2009-03-21 15:31:16","2009-09-24 16:25:44","pet","nancypiper@visitrollingacres.com","Nancy Piper",""
25,"Paw Print Pet Cemetery & Crematory","","","630-231-1909","27 W. 150 N. Ave.","","West Chicago","IL",60185,"",2025,50,"2009-03-21 15:35:55","2009-03-21 15:35:55","pet","lpet1117@aol.com","Linda Peterson",""
26,"Los Angeles Pet Memorial Park","lapetcemetery","www.lapetcemetery.com","818-591-7037","5068 N. Old Scandia Ln.","","Calabassas","CA",91302,"",2027,50,"2009-03-21 15:40:54","2009-03-21 15:40:54","pet","lapetcem@sbcglobal.net","Margie Stillman",""
29,"Faithful Friends Pet Cremation and Memorials","faithfulfriendspet","faithfulfriendspet.com/","270-842-4086","8141 Nashville Road","","Bowling Green","KY",42101,"",2035,50,"2009-03-22 01:04:30","2009-09-24 16:21:29","pet","kimbird@bellsouth.net","Tommy Jones",""
30,"Faithful Friends Pet Memory Center","faithfulfriendspetmemorycenter","www.faithfulfriendspetmemorycenter.com","859-282-6527","Suite C","5775 Constitution Dr.","Florence","KY",41042,"",2037,50,"2009-03-22 01:15:32","2010-11-28 21:42:57","pet","lorie.clary@faithfulfriendspetmemorycenter.com","Lorie Clary",""
31,"Faithful Friends Pet Memorial Services, LLC","ffpmsnashville","www.ffpmsnashville.com","615-403-8020","72 Buchi Court","","Nashville","TN",37204,"",2038,50,"2009-03-22 01:19:14","2009-09-24 21:41:39","pet","ffpmscrematory@aol.com","Brenda Gifford",""
32,"Greenbrier of Central Florida","greenbrier","www.greenbrier.cc/index.html","407-886-2670","3703 W. Kelly Park Rd.","","Apopka","FL",32712,"",2039,50,"2009-03-22 01:25:35","2009-09-24 15:53:59","pet","","Debbie Mulrine",""
33,"Hamilton Pet Meadow","petmeadow","www.petmeadow.com/","609-586-9660","1500 Klockner Rd.","","Hamilton","NJ",08619,"",2040,50,"2009-03-22 01:28:48","2009-09-24 17:58:31","pet","dbjorling@petmeadow.com","Debra A. Bjorling",""
34,"Love Dogs & Cats Too","lovedogsandcatstoo","www.lovedogsandcatstoo.com/","706-632-8668","777 East Main St.","","Blue Ridge","GA",30513,"",2041,50,"2009-03-22 01:36:13","2009-09-24 16:03:14","pet","rickismart@tds.net","Ricki Smart",""
