"id","material"
5,"Pecan"
6,"Spalted Maple"
7,"Spalted Maple"
9,"Box Elder"
10,"Black Walnut "
13,"Box Elder"
14,"Tulip Poplar"
16,"Ambrosia Maple"
18,"Red Bud"
19,"Cedar"
21,"Black Walnut"
22,"Tulip Poplar"
23,"Ambrosia Maple"
24,"Red Bud Burl"
26,"Box Elder"
27,"Maple Burl"
29,"Ambrosia Maple"
32,"Black Walnut"
37,"Hickory"
38,"Box Elder"
39,"Camphor"
40,"Cherry"
41,"Box Elder"
42,"Box Elder"
43,"White Oak"
44,"Box Elder"
45,"Tulip Poplar"
47,"Maple Burl"
48,"Black Walnut"
49,"Box Elder"
50,"Box Elder"
51,"Box Elder"
52,"Spalted Maple"
53,"Box Elder"
55,"Spalted Maple"
56,"Box Elder "
57,"Box Elder"
60,"Cedar"
62,"Cedar"
63,"Box Elder"
66,"Ambrosia Maple"
71,""
73,"Sweet Gum"
76,"Spalted Maple"
77,"Spalted Maple"
78,"Spalted Maple"
79,"Oak Burl"
80,"Pecan"
81,"Tulip Poplar"
82,"Box Elder"
83,"Spalted Maple"
84,"Spalted Maple"
85,"Ambrosia Maple"
86,"Box Elder"
87,"Box Elder"
88,"White Oak"
89,"Ambrosia Maple"
90,"Cherry"
91,"Tulip Poplar"
92,"Box Elder"
93,"Tulip Poplar"
94,"Box Elder"
95,"Camphor"
96,"Box Elder"
97,"Box Elder"
98,"Ambrosia Maple"
99,"Box Elder"
100,"Ambrosia Maple"
101,"Tulip Poplar"
102,"Black Walnut"
103,"Spalted Maple Burl"
104,"Box Elder"
105,"White Oak"
106,"Box Elder"
107,"White Oak"
108,"Ambrosia Maple"
109,"Ambrosia Maple"
110,"Box Elder"
111,"Pecan"
112,"Camphor"
113,"Box Elder"
114,"Spalted Maple"
115,"Box Elder"
116,"Tulip Poplar"
117,"Maple Burl"
118,"Tulip Poplar"
119,"Box Elder"
120,"Black Walnut"
121,"Black Walnut"
122,"Ambrosia Maple"
123,"Box Elder"
124,"Box Elder"
125,"Walnut"
126,"Spalted Maple"
127,"Spalted Maple"
128,"Black Walnut"
129,"Spalted Maple"
130,"Spalted Maple"
131,"Tulip Poplar"
132,"Tulip Poplar"
133,"Black Walnut"
134,"Spalted Maple"
135,"Box Elder"
136,"Ambrosia Maple"
137,"Box Elder"
138,"White Top Burl"
139,"Chac Te Kote"
140,"Box Elder"
141,"Amboyna Burl"
142,"Box Elder "
143,"Buckeye Burl"
144,"Big Leaf Maple Burl"
145,"Camphor, Curly Box Elder, Big Leaf Maple Burl Cap"
146,"wood"
147,"Camphor"
149,"Cherry"
150,"Black Walnut"
151,"Curly Ambrosia Maple"
152,"Ambrosia Maple"
153,"Box Elder"
154,"Curly Camphor"
155,"Ambrosia Maple"
156,"Ambrosia Maple"
157,"Ambrosia Maple"
158,"Ambrosia Maple"
159,"Ambrosia Maple"
160,"Ambrosia Maple"
161,"Spalted Pecan"
162,"Tulip Poplar"
163,"Ambrosia Maple"
164,"Spalted Pecan"
165,"Ambrosia Maple"
166,"Ambrosia Maple"
167,"Pecan"
168,"Ambrosia Maple"
169,"Tulip Poplar"
170,"Tulip Poplar"
171,"Ambrosia Maple"
172,"Pecan"
173,"Box Elder"
174,"Spalted Maple"
175,"Box Elder"
176,"Tulip Poplar"
177,"Box Elder"
178,"Box Elder"
179,"Curly Camphor"
180,"Curly Camphor"
181,"Box Elder"
182,"Box Elder"
183,"Ambrosia Maple"
184,"Camphor"
185,"Cherry"
186,"Spalted Maple"
187,"Ambrosia Maple"
188,"Ambrosia Maple"
189,"Ambrosia Maple"
191,"Ambrosia Maple"
192,"Camphor"
193,"Ambrosia Maple"
194,"Box Elder"
195,"Ambrosia Maple"
196,"Pecan"
197,"Curly Camphor"
198,"Curly Camphor"
199,"Curly Camphor"
200,"Box Elder"
201,"Box Elder"
202,"Tulip Poplar"
203,"Box Elder"
205,"Curly Maple"
206,"Spalted Maple"
207,"Curly Camphor"
208,"Tulip Poplar"
209,"Tulip Poplar"
210,"Tulip Poplar"
211,"Box Elder"
212,"Box Elder"
213,"Box Elder"
214,"Black Walnut"
215,"Black Walnut"
216,"Spalted Maple"
217,"Cherry"
218,"Camphor"
219,"Maple Burl"
220,"Tulip Poplar"
221,"Sycamore"
222,"Spalted Beech"
223,"Spalted Box Elder"
224,"Camphor"
225,"Spalted Maple"
226,"Box Elder"
227,"Spalted Maple"
228,"Tulip Poplar"
229,"Spalted Box Elder"
230,"Spalted Maple"
231,"Spalted Box Elder"
232,"Box Elder"
233,"Spalted Maple"
234,"Ambrosia Maple"
235,"Ambrosia Maple"
236,"Spalted Maple"
237,"Pecan"
238,"Ambrosia Maple"
239,"Box Elder"
240,"Box Elder"
241,"Cherry"
242,"Spalted Maple"
243,"Ambrosia Maple"
244,"Camphor"
245,"Cherry"
246,"Box Elder"
247,"Tulip Poplar"
248,"Curly Maple"
249,"Spalted Beech"
250,"Black Walnut"
252,"Oak"
253,"Tulip Poplar"
254,"Box Elder"
255,"Box Elder"
256,"Box Elder"
257,"Ambrosia Maple"
258,"Ambrosia Maple"
259,"Ambrosia Maple"
260,"Black Locust Burl"
261,"Spalted Pecan"
262,"Spalted Pecan"
263,"Ambrosia Maple"
264,"Ambrosia Maple"
265,"Spalted Pecan"
266,"Spalted Pecan"
267,"Cherry"
268,"Box Elder"
270,"Pecan"
271,"Camphor"
272,"Maple"
273,"Spalted Pecan"
274,"Box Elder"
275,"Black Walnut"
276,"Box Elder"
277,"Box Elder"
278,"Black Walnut"
279,"Baltic Birch"
280,"Spalted Oak Burl"
281,"Black Walnut"
282,"Box Elder"
283,"Box Elder"
284,"Box Elder"
285,"Spalted Ambrosia Maple"
286,"Cedar"
287,"Box Elder"
288,"Box Elder"
289,"Camphor"
290,"Box Elder"
291,"Box Elder"
292,"Black Walnut"
293,"Box Elder"
294,"Cherry"
296,"Box Elder"
297,"Black Walnut"
298,"Black Walnut"
299,"Box Elder"
300,"Box Elder"
301,"Box Elder"
302,"Black Walnut"
303,"Black Walnut"
304,"Black Walnut"
305,"Black Walnut"
306,"Ambrosia Maple"
307,"Ambrosia Maple"
308,"Camphor"
309,"Box Elder"
310,"Box Elder"
311,"Curly Camphor"
312,"Cherry"
313,"Box Elder"
314,"Spalted Pecan"
315,"Box Elder"
316,"Box Elder"
317,"Ambrosia Sycamore"
318,"Black Oak"
319,"Cherry"
320,"Ambrosia Maple"
321,"Black Oak"
322,"Black Oak"
323,"Box Elder"
324,"Spalted Pecan"
325,"Black Oak"
326,"Maple Burl"
327,"Black Oak Burl"
328,"Ambrosia Maple"
329,"Spalted Pecan"
330,"Ambrosia Maple"
331,"Cherry Burl"
332,"Ambrosia Maple"
333,"Maple"
334,"Box Elder"
335,"Ambrosia Maple"
336,"Spalted Pecan"
337,"Spalted Pecan"
338,"Spalted Pecan"
339,"Box Elder"
340,"Box Elder"
341,"Box Elder"
342,"Box Elder"
343,"Box Elder"
344,"Cherry"
345,"Cherry"
346,"Spalted Pecan"
347,"Spalted Pecan"
348,"Spalted Pecan"
349,"Ambrosia Maple"
350,"Box Elder"
351,"Box Elder"
352,"Spalted Maple"
353,"Spalted Maple"
354,"Tulip Poplar"
355,"Spalted Oak"
356,"Cedar"
357,"Box Elder"
358,"Black Walnut"
359,"Black Walnut"
360,"Black Walnut"
361,"Black Walnut"
362,"Cherry"
363,"Box Elder"
364,"Curly Box Elder"
365,"Spalted Tulip Poplar"
366,"Box Elder"
368,"Spalted Maple"
369,"Black Walnut"
370,"Spalted Poplar"
371,"Box Elder"
372,"Cedar"
373,"Tulip Poplar"
374,"Ambrosia Maple"
375,"Camphor"
376,"Red Bud"
377,"Camphor"
378,"Box Elder"
379,"Maple Burl"
380,"Camphor"
381,"Unknown"
382,"Box Elder"
383,"Box Elder"
384,"Cherry"
385,"Cedar"
386,"Cherry"
387,"Cherry"
388,"Cedar"
389,"Cedar"
390,"Black Walnut"
391,"Ebony and Maple"
392,"Ambrosia Maple"
393,"Big Leaf Maple"
394,"Black Walnut"
395,"Box Elder"
396,"Maple"
397,"Box Elder"
398,"Cedar"
399,"Black Walnut"
400,"Black Walnut"
401,"Curly Maple"
402,"Box Elder"
403,"Black Walnut"
404,"Black Walnut"
